Titolo,URL
Java IDE day 2008 – Genova: ci siamo!,https://juggenova.wordpress.com/2008/03/08/java-ide-day-2008-genova-ci-siamo/
Java IDE day 2008!,https://juggenova.wordpress.com/2008/02/13/java-ide-day-2008/
JSF vs Struts presentations,https://juggenova.wordpress.com/2008/01/24/jsf-vs-struts-presentations/
Updates about last meeting and next meeting (20 may 2008),https://juggenova.wordpress.com/2008/01/23/updates-about-last-meeting-and-next-meeting-20-may-2008/
JUG Genova and Jazoon ’08,https://juggenova.wordpress.com/2007/12/14/jug-genova-and-jazoon-3908/
Genova JUG meeting @ DIST – 22/01/2008,https://juggenova.wordpress.com/2007/11/23/genova-jug-meeting-dist-22012008/
JUG presentation list,https://juggenova.wordpress.com/2007/11/23/jug-presentation-list/
Presentations on Build Automation and Unit Testing from past meetings,https://juggenova.wordpress.com/2007/11/22/presentations-on-build-automation-and-unit-testing-from-past-meetings/
Nasa World Wind presentation slides,https://juggenova.wordpress.com/2007/11/21/nasa-world-wind-presentation-slides/
Model Driven Engineering – ManyDesigns Portofino,https://juggenova.wordpress.com/2007/11/21/model-driven-engineering-manydesigns-portofino/
JUG Meeting @ NIS; 20 november 2007,https://juggenova.wordpress.com/2007/11/07/jug-meeting-nis-20-november-2007/
Continuous Integration with Hudson,https://juggenova.wordpress.com/2007/10/19/continuous-integration-with-hudson/
Javaday Torino – 20/10/2007,https://juggenova.wordpress.com/2007/10/10/javaday-torino-20102007/
Next Genova JUG Meeting – 20/11/2007,https://juggenova.wordpress.com/2007/09/20/next-genova-jug-meeting-20112007/
Introduzione a Spring – slide,https://juggenova.wordpress.com/2007/09/19/introduzione-a-spring-slide/
Genova JUG @ DIST – 18/9/2007,https://juggenova.wordpress.com/2007/09/04/genova-jug-dist-1892007/
Javaday,https://juggenova.wordpress.com/2007/08/06/javaday/
Slide resoconto Jazoon ’07,https://juggenova.wordpress.com/2007/07/25/slide-resoconto-jazoon-3907/
Slide su AOP,https://juggenova.wordpress.com/2007/07/24/slide-su-aop/
JUG Genova Meeting @NIS – 23/7/2007,https://juggenova.wordpress.com/2007/07/10/jug-genova-meeting-nis-2372007/
